Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 4491.082814514979	 0	 29.27009798949749	 10067.95482199589	 Fe hcp (Smith)
1	 1.464887975099012e-05	 4491.082813469598	 1.674424835069154e-14	 29.27009798707262	 10067.9548214702	 Fe hcp (Smith)
2	 1.464887975099012e-05	 4491.082813469598	 1.674424835069154e-14	 29.27009798707262	 10067.9548214702	 Fe hcp (Smith)
3	 1.498707611275878e-05	 4491.082813420772	 1.793094397191655e-14	 29.27009798695936	 10067.95482144565	 Fe hcp (Smith)
4	 1.531066138899397e-05	 4491.082813373012	 1.911763959314156e-14	 29.27009798684858	 10067.95482142163	 Fe hcp (Smith)
5	 1.562111825103386e-05	 4491.08281332623	 2.030433521436657e-14	 29.27009798674007	 10067.95482139811	 Fe hcp (Smith)
6	 1.593543536988034e-05	 4491.082813277911	 2.155481077485668e-14	 29.27009798662798	 10067.95482137381	 Fe hcp (Smith)
7	 1.625577204972893e-05	 4491.082813227676	 2.288101136195289e-14	 29.27009798651145	 10067.95482134855	 Fe hcp (Smith)
8	 1.658250980996525e-05	 4491.082813175407	 2.428864031071652e-14	 29.27009798639021	 10067.95482132226	 Fe hcp (Smith)
9	 1.691581009960379e-05	 4491.082813121016	 2.578284381949653e-14	 29.27009798626406	 10067.95482129491	 Fe hcp (Smith)
10	 1.725580895213141e-05	 4491.082813064417	 2.736896576084893e-14	 29.27009798613275	 10067.95482126645	 Fe hcp (Smith)
11	 1.760264152560116e-05	 4491.082813005521	 2.905266317001858e-14	 29.27009798599614	 10067.95482123683	 Fe hcp (Smith)
12	 1.795644523981436e-05	 4491.082812944232	 3.083993905100091e-14	 29.27009798585398	 10067.95482120601	 Fe hcp (Smith)
13	 1.831736021827777e-05	 4491.082812880455	 3.273716543001037e-14	 29.27009798570604	 10067.95482117394	 Fe hcp (Smith)
14	 1.86855293950695e-05	 4491.082812814089	 3.47511063026418e-14	 29.27009798555209	 10067.95482114057	 Fe hcp (Smith)
15	 1.906109857569786e-05	 4491.082812745028	 3.688894176767886e-14	 29.27009798539191	 10067.95482110584	 Fe hcp (Smith)
16	 1.944421649725397e-05	 4491.082812673163	 3.915829363855711e-14	 29.27009798522521	 10067.9548210697	 Fe hcp (Smith)
17	 1.983503488449816e-05	 4491.082812598381	 4.156725260009624e-14	 29.27009798505174	 10067.9548210321	 Fe hcp (Smith)
18	 2.023370851426267e-05	 4491.082812520561	 4.412440707938101e-14	 29.27009798487123	 10067.95482099296	 Fe hcp (Smith)
19	 2.064039527184589e-05	 4491.082812439582	 4.683887383499297e-14	 29.27009798468339	 10067.95482095224	 Fe hcp (Smith)
20	 2.105525621495212e-05	 4491.082812355315	 4.97203304668914e-14	 29.27009798448792	 10067.95482090987	 Fe hcp (Smith)
21	 2.147845564234359e-05	 4491.082812267626	 5.27790499533495e-14	 29.27009798428453	 10067.95482086577	 Fe hcp (Smith)
22	 2.191016115274047e-05	 4491.082812176376	 5.602593723434958e-14	 29.27009798407286	 10067.95482081988	 Fe hcp (Smith)
23	 2.235054371329446e-05	 4491.082812081423	 5.9472568103246e-14	 29.2700979838526	 10067.95482077213	 Fe hcp (Smith)
24	 2.279977772901043e-05	 4491.082811982613	 6.313123049061613e-14	 29.2700979836234	 10067.95482072245	 Fe hcp (Smith)
25	 2.325804110885312e-05	 4491.082811879792	 6.701496824998293e-14	 29.2700979833849	 10067.95482067074	 Fe hcp (Smith)
26	 2.372551533810302e-05	 4491.082811772795	 7.113762767638007e-14	 29.27009798313672	 10067.95482061693	 Fe hcp (Smith)
27	 2.420238555030605e-05	 4491.082811661455	 7.551390687256879e-14	 29.27009798287844	 10067.95482056094	 Fe hcp (Smith)
28	 2.468884059976755e-05	 4491.082811545593	 8.015940814359495e-14	 29.27009798260969	 10067.95482050268	 Fe hcp (Smith)
29	 2.518507313643519e-05	 4491.082811425027	 8.509069362245393e-14	 29.27009798233003	 10067.95482044205	 Fe hcp (Smith)
30	 2.569127968282589e-05	 4491.082811299567	 9.032534432359653e-14	 29.27009798203901	 10067.95482037896	 Fe hcp (Smith)
31	 2.62076607107861e-05	 4491.082811169011	 9.588202281184317e-14	 29.27009798173617	 10067.95482031331	 Fe hcp (Smith)
32	 2.673442072212584e-05	 4491.082811033155	 1.017805397508883e-13	 29.27009798142104	 10067.95482024499	 Fe hcp (Smith)
33	 2.727176832841513e-05	 4491.082810891782	 1.080419245193411e-13	 29.27009798109311	 10067.9548201739	 Fe hcp (Smith)
34	 2.781991633552098e-05	 4491.08281074467	 1.146885002069544e-13	 29.27009798075187	 10067.95482009992	 Fe hcp (Smith)
35	 2.83790818262481e-05	 4491.082810591583	 1.217439631829689e-13	 29.27009798039677	 10067.95482002294	 Fe hcp (Smith)
36	 2.894948624399808e-05	 4491.082810432282	 1.29233467546698e-13	 29.27009798002725	 10067.95481994283	 Fe hcp (Smith)
37	 2.953135548659714e-05	 4491.082810266513	 1.37183714885327e-13	 29.27009797964273	 10067.95481985947	 Fe hcp (Smith)
38	 3.01249199909784e-05	 4491.082810094013	 1.456230494104097e-13	 29.27009797924261	 10067.95481977273	 Fe hcp (Smith)
39	 3.073041482554541e-05	 4491.082809914508	 1.545815590237641e-13	 29.27009797882623	 10067.95481968246	 Fe hcp (Smith)
40	 3.134807978348335e-05	 4491.082809727716	 1.64091182589677e-13	 29.27009797839294	 10067.95481958853	 Fe hcp (Smith)
41	 3.197815947872636e-05	 4491.08280953334	 1.741858238197474e-13	 29.27009797794206	 10067.95481949078	 Fe hcp (Smith)
42	 3.262090344030215e-05	 4491.082809331071	 1.849014721066876e-13	 29.27009797747289	 10067.95481938907	 Fe hcp (Smith)
43	 3.32765662125633e-05	 4491.082809120589	 1.962763308537258e-13	 29.27009797698465	 10067.95481928322	 Fe hcp (Smith)
44	 3.394540745685022e-05	 4491.082808901561	 2.083509536926619e-13	 29.27009797647659	 10067.95481917308	 Fe hcp (Smith)
45	 3.462769205439776e-05	 4491.08280867364	 2.211683890697087e-13	 29.27009797594791	 10067.95481905847	 Fe hcp (Smith)
46	 3.532369020700318e-05	 4491.082808436464	 2.347743336406105e-13	 29.27009797539775	 10067.9548189392	 Fe hcp (Smith)
47	 3.603367755344777e-05	 4491.082808189659	 2.492172953703499e-13	 29.27009797482526	 10067.95481881509	 Fe hcp (Smith)
48	 3.675793526639737e-05	 4491.082807932832	 2.645487662333246e-13	 29.27009797422953	 10067.95481868594	 Fe hcp (Smith)
49	 3.749675017299007e-05	 4491.082807665577	 2.808234059739966e-13	 29.2700979736096	 10067.95481855154	 Fe hcp (Smith)
50	 3.825041486414682e-05	 4491.082807387472	 2.98099236892386e-13	 29.27009797296451	 10067.95481841169	 Fe hcp (Smith)
51	 3.901922781486899e-05	 4491.082807098074	 3.164378508068165e-13	 29.27009797229321	 10067.95481826616	 Fe hcp (Smith)
52	 3.980349349550538e-05	 4491.082806796927	 3.359046284803287e-13	 29.27009797159469	 10067.95481811473	 Fe hcp (Smith)
